timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 04:35:15.943,113.05,1980,2619,0,0
2026/01/04 04:35:15.943,124.13,1980,2619,0,0
2026/01/04 04:35:15.943,113.91,1980,2619,0,0
2026/01/04 04:35:15.943,103.43,465,2619,0,0
2026/01/04 04:35:15.943,123.06,480,2619,0,0
2026/01/04 04:35:15.943,115.01,1980,2619,0,0
2026/01/04 04:35:15.943,117.62,1980,2619,0,0
2026/01/04 04:35:15.943,115.55,390,2619,0,0
2026/01/04 04:35:15.993,113.05,1980,2619,0,0
2026/01/04 04:35:15.993,124.13,1980,2619,0,0
2026/01/04 04:35:15.994,113.91,1980,2619,0,0
2026/01/04 04:35:15.994,99.99,435,2619,0,0
2026/01/04 04:35:15.994,117.90,480,2619,0,0
2026/01/04 04:35:15.994,115.01,1980,2619,0,0
2026/01/04 04:35:15.994,117.62,1980,2619,0,0
2026/01/04 04:35:15.994,115.55,390,2619,0,0
2026/01/04 04:35:16.044,113.01,1980,2619,0,0
2026/01/04 04:35:16.044,124.14,1980,2619,0,0
2026/01/04 04:35:16.044,113.93,1980,2619,0,0
2026/01/04 04:35:16.044,99.99,435,2619,0,0
2026/01/04 04:35:16.044,117.90,480,2619,0,0
2026/01/04 04:35:16.044,115.01,1980,2619,0,0
2026/01/04 04:35:16.044,117.62,1980,2619,0,0
2026/01/04 04:35:16.044,110.61,390,2619,0,0
2026/01/04 04:35:16.094,113.01,1980,2619,0,0
2026/01/04 04:35:16.094,124.14,1980,2619,0,0
2026/01/04 04:35:16.094,113.93,1980,2619,0,0
2026/01/04 04:35:16.094,95.36,435,2619,0,0
2026/01/04 04:35:16.094,114.44,435,2619,0,0
2026/01/04 04:35:16.094,115.01,1980,2619,0,0
2026/01/04 04:35:16.094,117.61,1980,2619,0,0
2026/01/04 04:35:16.094,110.61,390,2619,0,0
2026/01/04 04:35:16.144,113.02,1980,2619,0,0
2026/01/04 04:35:16.144,124.15,1980,2619,0,0
2026/01/04 04:35:16.144,113.94,1980,2619,0,0
2026/01/04 04:35:16.144,95.36,435,2619,0,0
2026/01/04 04:35:16.144,114.44,435,2619,0,0
2026/01/04 04:35:16.144,115.01,1980,2619,0,0
2026/01/04 04:35:16.144,117.61,480,2619,0,0
2026/01/04 04:35:16.144,105.77,360,2619,0,0
2026/01/04 04:35:16.194,113.02,1980,2619,0,0
2026/01/04 04:35:16.194,124.14,1980,2619,0,0
2026/01/04 04:35:16.194,113.94,1980,2619,0,0
2026/01/04 04:35:16.194,95.36,390,2619,0,0
2026/01/04 04:35:16.194,110.13,435,2619,0,0
2026/01/04 04:35:16.194,114.58,1980,2619,0,0
2026/01/04 04:35:16.194,115.45,480,2619,0,0
2026/01/04 04:35:16.194,105.77,360,2619,0,0
2026/01/04 04:35:16.244,113.01,1980,2619,0,0
2026/01/04 04:35:16.244,124.14,1980,2619,0,0
2026/01/04 04:35:16.244,113.94,1980,2619,0,0
2026/01/04 04:35:16.244,90.06,390,2619,0,0
2026/01/04 04:35:16.244,110.13,435,2619,0,0
2026/01/04 04:35:16.244,114.58,450,2619,0,0
2026/01/04 04:35:16.244,115.45,480,2619,0,0
2026/01/04 04:35:16.244,99.88,360,2619,0,0
2026/01/04 04:35:16.294,113.01,1980,2619,0,0
2026/01/04 04:35:16.294,124.14,1980,2619,0,0
2026/01/04 04:35:16.294,113.94,1980,2619,0,0
2026/01/04 04:35:16.294,87.20,390,2619,0,0
2026/01/04 04:35:16.294,105.79,405,2619,0,0
2026/01/04 04:35:16.294,109.70,450,2619,0,0
2026/01/04 04:35:16.294,110.31,465,2619,0,0
2026/01/04 04:35:16.294,99.88,360,2619,0,0
2026/01/04 04:35:16.344,112.46,465,2619,0,0
